Item,Usage,Quantity,Price (when bought),Supplier/Link,Description/Notes,Actual Cost (based on quantity used)
2.8 inch TFT display module 320x240 ILI9341 (with touch panel) with SD reader,Shows the games and all the UI,1,4.85€,AliExpress: https://a.aliexpress.com/_EIZItii,The main (and only) screen doesn't need to be touch screen and other display drivers should be compatible if they are supported by the library (tft_espi) suggest going with a st7789v since they are faster,4.85€
ESP32-S3 N16R8,The processor which runs all the games and renders the music and basically everything,1,4.48€,AliExpress: https://a.aliexpress.com/_ExT1jPM,A simple esp32 s3 which is more powerful than the classic esp32 and with more gpios that are 100% needed. Mine came with support for external antenna which is useful.,4.48€
MAX98357A I2S Class D amplifier,Plays the sound on the speakers,1,2.75€ (5pcs),AliExpress: https://a.aliexpress.com/_EGm4xVg,You can get either 1 or 2 based on if you want stereo sound or not. (In my project I am using only one and free gpios are limited),0.55€
3-Pin Tripod Thumbwheel Toggle Switch,Used to control the volume (can be skipped),1,1.56€ (10pcs),AliExpress: https://a.aliexpress.com/_Eze2dMW,It's just button which is like a rotating thingy(idk how describe it),0.16€
SS34 Schottky Diode,Used to block voltage back feed when the esp32 is connected on the type c for code upload,1,0.50€ (50pcs),AliExpress: https://a.aliexpress.com/_Ez3JMAe,It's a basic Schottky Diode which drops the voltage around 0.4 and support 1 amp 9 volts,0.01€
3Pin Toggle Switch 1P2T 2 Position SS12D00G2 DIP Slide Switch Handle length 3mm,Switch for turning off and on the game console system,1,1.70€ (20pcs),AliExpress: https://a.aliexpress.com/_ExYMIee,A simple 2 position switch can use a different one but design changes will be needed also the version of 2mm length might be better fit but 3mm is the one I used,0.09€
4.7k ohm resistors,Pull ups for the mcp's sda and scl pins,2,-,-,Just a resistor smd works too but don't recommend since it's harder to solder,-
MCP23017 Expander with I2C Interface,"Connect all the buttons and only ""eats"" 3 gpios",1,2.37€,AliExpress: https://a.aliexpress.com/_EuMM6o6,Simple i2c expander because the esp32 pins aren't enough,2.37€
DRV8833 motor driver,Drives the vibrating motors and block voltage back feeding (I hope),1,3.21€ (5pcs),AliExpress: https://a.aliexpress.com/_EJe5Rls,Basic motor driver to control speed of motors,0.64€
Mini Vibration Motors flat coin type,It vibrates the console for more haptic effect?,2,2.05€ (10pcs),AliExpress: https://a.aliexpress.com/_Ex0j4b0,Small little coin styled vibrating motors they work really good.,0.41€
Limit switch 3PIN with metal arm,Used for the back left and right buttons,2,1.66€ (20pcs),AliExpress: https://a.aliexpress.com/_EvdFDWa,-,0.17€
Linear voltage regulator AMS1117 3V3,Powers every module that needs 3.3 including the mcp23017 chip the mpu6050 joysticks,1,1.35€ (20pcs),AliExpress: https://a.aliexpress.com/_Ejuag4E,Simple voltage regulator for 3.3 volts,0.07€
Tactile Push Button,Buttons for controlling,6x6x3.1 (8pcs); 3x6x2.5 (3pcs),4.12€ (box of 250pcs),AliExpress: https://a.aliexpress.com/_EJLsw0K,It's a box with basically all the push buttons needed,0.18€ (11pcs used)
M2 screws (variable lengths),Hold everything in place securely without being bulky,-,4.67€ (box of 482pcs),AliExpress: https://www.aliexpress.com/item/1005007278965396.html,"Any m2 screw will do but there are different needs for shorter or longer screws. Lengths used: 6x22mm, 5x4mm, 4x5mm, 6x8mm",~0.20€
M3 screws,Used to hold the tft screen,4x3.5mm,-,-,No link available for these,~
Aluminum Electrolytic Capacitor 1000µF,Controls power spikes,1,2.12€ (20pcs),AliExpress: https://a.aliexpress.com/_EINT58Q,Needs to be at least 6 volts,0.11€
Perfboard double sided,Board for buttons and the main board for mpu mcp motor driver max amplifier,-,4.28€ (20pcs),AliExpress: https://a.aliexpress.com/_EIBvdBU,I used pre cut prototype circuit boards but maybe a big piece would be better since I had to cut those either way,4.28€
MPU6050 sensor,For interactive games and many cool features,1,2.84€,AliExpress: https://www.aliexpress.com/item/1005008714169630.html,I bought this on a sensor pack so the linked product isn't tested,2.84€
Hall Effect Electromagnetic Joystick K-SILVER JH16,"Used for making the console gamepad ""ready"" and also for game/ui controlling",2,12.15€ (2pcs),AliExpress: https://www.aliexpress.com/item/1005009646184648.html,Those are some joysticks that are thinner than the normal 2$ modules which still offer the button click.,12.15€
Powerbank module,Charges the li-ion battery and charges other devices,1,1.11€,AliExpress: https://www.aliexpress.com/item/1005007300134658.html,Basically its used as the li ion charger but it also offers 5volt output and you can charge other devices from the console,1.11€
PETG-CF filament Elegoo black,The main body filament,~100gr,15.78€ (0.5kg),Skroutz: https://www.skroutz.gr/s/66648050/elegoo-petg-cf-3d-printer-filament-1-75mm-mayro-0-5kg-50-203-0647.html?product_id=300656250&sponsored=featured_similar,This is for refrence only its the filament I used to make my version any filament type and color will work,3.16€
PETG Purple Creality,The secondary color filament,~20gr,8.00€ (1kg),Skroutz: https://www.skroutz.gr/s/61674982/creality3d-3d-printer-filament-1-75mm-mov-1kg-3301030045.html,This is for refrence only its the filament I used to make my version any filament type and color will work,0.16€
FEP Copper Wire 30AWG,Signal wires,~4m,1.5€ (10m),AliExpress: https://www.aliexpress.com/item/1005008851767447.html,Just for refrence any wire 28-32 AWG will work,0.60€
24AWG 8cm Fly Jumper Wire Tin Conductor Wires,Power higher current cable,~14 pcs,1.73€ (120pcs),AliExpress: https://www.aliexpress.com/item/1005008194967488.html,Just for refrence any wire 22-24 AWG will work,0.20€
SD Card,Used as storage for everything,1,~,~,You can use any sd card available that can be formated to FAT32,-
,,,,,,
TOTAL (sum of package/list prices actually paid),,,,,,84.78€
"TOTAL (actual cost of quantities used, prorated)",,,,,,~39.05€
