Item,Usage,Quantity,Price (when bought),Supplier/Link,Description/Notes
2.8 inch TFT display module 320x240 ILI9341 (with touch panel) with SD reader,Shows the games and all the UI,1,4.85€,AliExpress,The main (and only) screen doesn't need to be touch screen and other display drivers should be compatible if they are supported by the library (tft_espi) suggest going with a st7789v since they are faster
ESP32-S3 N16R8,The processor which runs all the games and renders the music and basically everything,1,4.48€,AliExpress,A simple esp32 s3 which is more powerful than the classic esp32 and with more gpios that are 100% needed. Mine came with support for external antenna which is useful.
MAX98357A I2S Class D amplifier,Plays the sound on the speakers,1-2,2.75€ (5pcs),AliExpress,You can get either 1 or 2 based on if you want stereo sound or not. (In my project I am using only one and free gpios are limited)
3-Pin Tripod Thumbwheel Toggle Switch,Used to control the volume (can be skipped),1,1.56€ (10pcs),AliExpress,It's just button which is like a rotating thingy(idk how describe it)
SS34 Schottky Diode,Used to block voltage back feed when the esp32 is connected on the type c for code upload,1,0.50€ (50pcs),AliExpress,It's a basic Schottky Diode which drops the voltage around 0.4 and support 1 amp 9 volts
3Pin Toggle Switch 1P2T 2 Position SS12D00G2 DIP Slide Switch Handle length 3mm,Switch for turning off and on the game console system,1,1.70€ (20pcs),AliExpress,A simple 2 position switch can use a different one but design changes will be needed also the version of 2mm length might be better fit but 3mm is the one I used
4.7k ohm resistors,Pull ups for the mcp's sda and scl pins,2,-,-,Just a resistor smd works too but don't recommend since it's harder to solder
MCP23017 Expander with I2C Interface,"Connect all the buttons and only ""eats"" 3 gpios",1,2.37€,AliExpress,Simple i2c expander because the esp32 pins aren't enough
DRV8833 motor driver,Drives the vibrating motors and block voltage back feeding (I hope),1,3.21€ (5pcs),AliExpress,Basic motor driver to control speed of motors
Mini Vibration Motors flat coin type,It vibrates the console for more haptic effect?,2,2.05€ (10pcs),AliExpress,Small little coin styled vibrating motors they work really good.
Limit switch 3PIN with metal arm,Used for the back left and right buttons,2,1.66€ (20pcs),AliExpress,-
Linear voltage regulator AMS1117 3V3,Powers every module that needs 3.3 including the mcp23017 chip the mpu6050 joysticks,1,1.35€ (20pcs),AliExpress,Simple voltage regulator for 3.3 volts
Tactile Push Button,Buttons for controlling,6x6x3.1 (8pcs)3x6x2.5 (3pcs),4.12€ (box of 250pcs),AliExpress,It's a box with basically all the push buttons needed
M2 screws (variable lengths),Hold everything in place securely without being bulky,-,4.67€ (box of 482pcs),AliExpress,Any m2 screw will do but there are different needs for shorter or longer screws
Aluminum Electrolytic Capacitor 1000µF,Controls power spikes,1,2.12€ (20pcs),AliExpress,Needs to be at least 6 volts
Perfboard double sided,Board for buttons and the main board for mpu mcp motor driver max amplifier,-,4.28€ (20pcs),AliExpress,I used pre cut prototype circuit boards but maybe a big piece would be better since I had to cut those either way
MPU6050 sensor,For interactive games and many cool features,1,2.84€,AliExpress,I bought this on a sensor pack so the linked product isn't tested
Hall Effect Electromagnetic Joystick K-SILVER JH16,"Used for making the console gamepad ""ready"" and also for game/ui controlling",2,12.15€ (2pcs),AliExpress,Those are some joysticks that are thinner than the normal 2$ modules which still offer the button click.
Powerbank module,Charges the li-ion battery and charges other devices,1,1.11€,AliExpress,Basically its used as the li ion charger but it also offers 5volt output and you can charge other devices from the console
PETG-CF filament Elegoo black,The main body filament,~ 100gr,15.78€ (0.5kg),Skroutz,This is for refrence only its the filament i used to make my version any filament type and color will work
PETG Purple Creality,The secondary color filament,~20gr,8.00 € (1kg),Skroutz,This is for refrence only its the filament i used to make my version any filament type and color will work
FEP Copper Wire 30AWG,Signal wires,~4m,1.5 (10m),AliExpress,Just for refrence any wire 28-32 AWG will work
24AWG 8cm Fly Jumper Wire Tin Conductor Wires,Power higher current cable,~14 pcs,1.73 (120pcs),AliExpress,Just for refrence any wire 22-24 AWG will work
SD Card,Used as storage for everything,1,~,~,You can use any sd card available that can be formated to FAT32
